iter	AUC	CrossEntropy	AUC
0	0.8581759835	0.6924457446	0.8581759835
1	0.8983898293	0.6918666206	0.8983898293
2	0.9060276833	0.6911846856	0.9060276833
3	0.9204457582	0.6903925182	0.9204457582
4	0.9274157833	0.689671989	0.9274157833
5	0.9283612884	0.689239927	0.9283612884
6	0.9315352332	0.6885351736	0.9315352332
7	0.9321064027	0.6880657858	0.9321064027
8	0.9348497736	0.6874518721	0.9348497736
9	0.9338796643	0.6868240638	0.9338796643
10	0.9368761072	0.6861629949	0.9368761072
11	0.9395649973	0.6855573677	0.9395649973
12	0.942999044	0.6849464837	0.942999044
13	0.9429674099	0.6844515048	0.9429674099
14	0.9427213677	0.6839028767	0.9427213677
15	0.9423171555	0.683519201	0.9423171555
16	0.9422292832	0.6829204486	0.9422292832
17	0.9420816579	0.6824746655	0.9420816579
18	0.941540365	0.6820469755	0.941540365
19	0.9416598712	0.6814581718	0.9416598712
20	0.9450130754	0.680817123	0.9450130754
21	0.9447810927	0.6801956131	0.9447810927
22	0.9437793493	0.6797856372	0.9437793493
23	0.9440078171	0.6793715517	0.9440078171
24	0.9439515789	0.6788254336	0.9439515789
25	0.9449708967	0.6782125097	0.9449708967
26	0.9439094002	0.6777264469	0.9439094002
27	0.9440675702	0.677203463	0.9440675702
28	0.9445526249	0.6767311708	0.9445526249
29	0.9445772291	0.6761052572	0.9445772291
30	0.9451571858	0.6755735106	0.9451571858
31	0.9451642156	0.6749547912	0.9451642156
32	0.9449708967	0.6744503882	0.9449708967
33	0.945248573	0.6738799121	0.945248573
34	0.9449638669	0.6733253554	0.9449638669
35	0.9451747603	0.6726835979	0.9451747603
36	0.9449041138	0.6721124398	0.9449041138
37	0.9449955009	0.6714515576	0.9449955009
38	0.9455227343	0.6707453024	0.9455227343
39	0.9466474988	0.6700175057	0.9466474988
40	0.9463803672	0.6694623081	0.9463803672
41	0.946830273	0.6688683672	0.946830273
42	0.9479480078	0.6682956004	0.9479480078
43	0.948383854	0.6677781634	0.948383854
44	0.9485314793	0.6672234539	0.9485314793
45	0.9488372747	0.666745556	0.9488372747
46	0.9485560836	0.6662646147	0.9485560836
47	0.9491852487	0.6657604959	0.9491852487
48	0.949079802	0.6653236415	0.949079802
49	0.9489110874	0.6647301726	0.9489110874
50	0.9495402525	0.6641269276	0.9495402525
51	0.9495929758	0.6636154913	0.9495929758
52	0.9491782189	0.663191953	0.9491782189
53	0.9496281247	0.6626125686	0.9496281247
54	0.9492766358	0.6621378754	0.9492766358
55	0.9486123218	0.6615774377	0.9486123218
56	0.94882673	0.6611310874	0.94882673
57	0.9488091556	0.6606208026	0.9488091556
58	0.9485174198	0.6601059661	0.9485174198
59	0.9488126705	0.6595542605	0.9488126705
60	0.9492274274	0.659048371	0.9492274274
61	0.9496175801	0.6583432671	0.9496175801
62	0.9490270787	0.657849352	0.9490270787
