iter	Passed	Remaining
0	400	199709
1	732	182377
2	840	139320
3	1264	156756
4	1624	160811
5	2039	167882
6	2380	167622
7	2715	166986
8	3090	168621
9	3422	167705
10	3777	167918
11	4224	171798
12	4595	172151
13	4968	172472
14	5293	171159
15	5661	171273
16	6016	170952
17	6411	171677
18	6804	172248
19	7127	171051
20	7918	180608
21	8854	192377
22	9260	192054
23	9599	190394
24	10076	191462
25	10688	194851
26	11094	194351
27	11469	193349
28	11855	192554
29	12307	192813
30	12692	192023
31	13078	191274
32	13453	190391
33	13858	189939
34	14234	189109
35	14615	188372
36	15020	187964
37	15403	187276
38	15754	186227
39	16252	186904
40	16808	188169
41	17179	187343
42	17569	186726
43	18145	188052
44	18611	188180
45	19041	187928
46	19367	186669
47	19720	185702
48	20048	184528
49	20462	184164
50	20929	184260
51	21311	183605
52	21812	183962
53	22180	183190
54	22598	182842
55	22919	181715
56	23292	181025
57	23629	180072
58	23973	179193
59	24361	178652
60	24705	177799
61	25085	177214
62	25471	176681
63	25926	176622
64	26488	177271
65	27030	177744
66	27533	177942
67	27919	177369
68	28275	176619
69	28641	175937
70	28978	175094
71	29336	174386
72	29742	173972
73	30155	173596
74	30509	172886
75	30917	172486
76	31287	171880
77	31647	171218
78	32059	170846
79	32399	170099
80	32836	169860
81	33206	169274
82	33623	168928
83	34002	168394
84	34695	169394
85	35260	169742
86	35697	169458
87	36068	168863
88	36391	168056
89	36783	167568
90	37144	166948
91	37497	166291
92	37880	165776
93	38317	165499
94	38731	165116
95	39278	165298
96	39855	165583
97	40952	167990
98	41441	167857
99	41963	167854
100	42461	167743
101	42958	167621
102	43392	167249
103	44010	167578
104	44555	167615
105	44959	167114
106	45408	166778
107	45774	166145
108	46178	165650
109	46617	165280
110	46997	164701
111	47320	163931
112	47638	163152
113	48002	162536
114	48377	161960
115	48760	161414
116	49460	161908
117	50308	162862
118	50869	162866
119	51269	162352
120	51635	161734
121	51951	160965
122	52485	160870
123	52845	160240
124	53235	159705
125	53569	159007
126	53966	158500
127	54306	157828
128	54700	157316
129	55061	156713
130	55404	156062
131	55766	155470
132	56155	154955
133	56508	154343
134	56868	153754
135	57263	153265
136	57585	152581
137	57993	152127
138	58408	151693
139	58722	151000
140	59124	150537
141	59466	149923
142	59796	149281
143	60171	148757
144	60716	148649
145	61192	148369
146	61613	147956
147	62119	147743
148	62694	147690
149	63682	148591
150	64209	148404
151	64750	148244
